altitude_km,pressure_hpa,temperature_k,air_number_density_cm3
0.0,1013.25,288.15,2.547e19
5.0,540.19,255.65,1.316e19
10.0,264.36,223.15,6.615e18
15.0,120.45,216.65,2.937e18
20.0,54.75,216.65,1.095e18
