# zig=0.15.2 optimize=ReleaseFast arch=aarch64 os=macos
operation,iterations,elapsed_ns,ns_per_call,checksum
smul_12x10,1000000,169671917,169.671917,136881773.997259530000
smul_add_semul3_12,1000000,187996125,187.996125,1555784810.382075500000
smul_add_semul3_known_right_trace_12,1000000,188876375,188.876375,1555784810.382075500000
qseries_nonzero_12x10,200000,103814084,519.070420,30114570.939590313000
dot_gauss_pair,20000000,90365667,4.518283,19613320.006023820000
