wavelength_nm,irradiance
755.45,4.80769000E+14
755.46,4.79232000E+14
755.47,4.79919000E+14
755.48,4.81810000E+14
755.49,4.83892000E+14
755.50,4.85950000E+14
755.51,4.87797000E+14
755.52,4.88950000E+14
755.53,4.89201000E+14
755.54,4.88905000E+14
755.55,4.88614000E+14
755.56,4.88508000E+14
755.57,4.88169000E+14
755.58,4.87024000E+14
755.59,4.85119000E+14
755.60,4.83394000E+14
755.61,4.82893000E+14
755.62,4.83745000E+14
755.63,4.85193000E+14
755.64,4.86378000E+14
755.65,4.86647000E+14
755.66,4.85351000E+14
755.67,4.82111000E+14
755.68,4.77917000E+14
755.69,4.75345000E+14
755.70,4.76258000E+14
755.71,4.79301000E+14
755.72,4.80337000E+14
755.73,4.74325000E+14
755.74,4.56899000E+14
755.75,4.28600000E+14
755.76,4.00575000E+14
755.77,3.90410000E+14
755.78,4.05656000E+14
755.79,4.35360000E+14
755.80,4.62291000E+14
755.81,4.78262000E+14
755.82,4.85126000E+14
755.83,4.87510000E+14
755.84,4.88400000E+14
755.85,4.88899000E+14
755.86,4.89205000E+14
755.87,4.89329000E+14
755.88,4.89350000E+14
755.89,4.89363000E+14
755.90,4.89378000E+14
755.91,4.89332000E+14
755.92,4.89128000E+14
755.93,4.88579000E+14
755.94,4.87334000E+14
755.95,4.85048000E+14
755.96,4.81918000E+14
755.97,4.79039000E+14
755.98,4.77733000E+14
755.99,4.78212000E+14
756.00,4.79356000E+14
756.01,4.80060000E+14
756.02,4.80349000E+14
756.03,4.80916000E+14
756.04,4.82064000E+14
756.05,4.83513000E+14
756.06,4.84826000E+14
756.07,4.85667000E+14
756.08,4.85950000E+14
756.09,4.85995000E+14
756.10,4.86229000E+14
756.11,4.86638000E+14
756.12,4.86689000E+14
756.13,4.85540000E+14
756.14,4.81959000E+14
756.15,4.74610000E+14
756.16,4.63902000E+14
756.17,4.53987000E+14
756.18,4.50865000E+14
756.19,4.56707000E+14
756.20,4.67435000E+14
756.21,4.77110000E+14
756.22,4.82947000E+14
756.23,4.85491000E+14
756.24,4.86211000E+14
756.25,4.86132000E+14
756.26,4.85779000E+14
756.27,4.85403000E+14
756.28,4.85086000E+14
756.29,4.84839000E+14
756.30,4.84727000E+14
756.31,4.84909000E+14
756.32,4.85484000E+14
756.33,4.86329000E+14
756.34,4.87169000E+14
756.35,4.87784000E+14
756.36,4.88089000E+14
756.37,4.88130000E+14
756.38,4.88084000E+14
756.39,4.88149000E+14
756.40,4.88371000E+14
756.41,4.88615000E+14
756.42,4.88698000E+14
756.43,4.88474000E+14
756.44,4.87886000E+14
756.45,4.87055000E+14
756.46,4.86212000E+14
756.47,4.85180000E+14
756.48,4.82952000E+14
756.49,4.78603000E+14
756.50,4.73310000E+14
756.51,4.70453000E+14
756.52,4.72286000E+14
756.53,4.77365000E+14
756.54,4.82434000E+14
756.55,4.85660000E+14
756.56,4.87198000E+14
756.57,4.87919000E+14
756.58,4.88443000E+14
756.59,4.88936000E+14
756.60,4.89302000E+14
756.61,4.89419000E+14
756.62,4.89162000E+14
756.63,4.88345000E+14
756.64,4.86965000E+14
756.65,4.85590000E+14
756.66,4.85137000E+14
756.67,4.85894000E+14
756.68,4.87128000E+14
756.69,4.87905000E+14
756.70,4.87929000E+14
756.71,4.87421000E+14
756.72,4.86644000E+14
756.73,4.85740000E+14
756.74,4.84784000E+14
756.75,4.83935000E+14
756.76,4.83602000E+14
756.77,4.84164000E+14
756.78,4.85485000E+14
756.79,4.86968000E+14
756.80,4.88070000E+14
756.81,4.88566000E+14
756.82,4.88449000E+14
756.83,4.87859000E+14
756.84,4.87133000E+14
756.85,4.86652000E+14
756.86,4.86456000E+14
756.87,4.86101000E+14
756.88,4.84991000E+14
756.89,4.82744000E+14
756.90,4.79427000E+14
756.91,4.75799000E+14
756.92,4.73273000E+14
756.93,4.73073000E+14
756.94,4.75150000E+14
756.95,4.78239000E+14
756.96,4.81123000E+14
756.97,4.83483000E+14
756.98,4.85480000E+14
756.99,4.87108000E+14
757.00,4.88245000E+14
757.01,4.88880000E+14
757.02,4.89079000E+14
757.03,4.88822000E+14
757.04,4.87806000E+14
757.05,4.84967000E+14
757.06,4.77771000E+14
757.07,4.62605000E+14
757.08,4.38896000E+14
757.09,4.15006000E+14
757.10,4.05649000E+14
757.11,4.17808000E+14
757.12,4.42462000E+14
