wavelength_nm,reference_radiance_photons_cm2_s_sr_nm
757.2600,4.52820000e+12
757.2700,4.52990000e+12
757.2800,4.53130000e+12
757.2900,4.53290000e+12
757.3000,4.53460000e+12
757.3100,4.53540000e+12
757.3200,4.53440000e+12
757.3300,4.53180000e+12
757.3400,4.52850000e+12
757.3500,4.52660000e+12
757.3600,4.52650000e+12
757.3700,4.52750000e+12
757.3800,4.52800000e+12
757.3900,4.52660000e+12
757.4000,4.52520000e+12
757.4100,4.52440000e+12
757.4200,4.52420000e+12
757.4300,4.52470000e+12
757.4400,4.52370000e+12
757.4500,4.52230000e+12
757.4600,4.52320000e+12
757.4700,4.52550000e+12
757.4800,4.52770000e+12
757.4900,4.52630000e+12
757.5000,4.51730000e+12
757.5100,4.49850000e+12
757.5200,4.46800000e+12
757.5300,4.42960000e+12
757.5400,4.39300000e+12
757.5500,4.36740000e+12
757.5600,4.35190000e+12
757.5700,4.32740000e+12
757.5800,4.26810000e+12
757.5900,4.16780000e+12
757.6000,4.05690000e+12
757.6100,3.98900000e+12
757.6200,4.00380000e+12
757.6300,4.09840000e+12
757.6400,4.23160000e+12
757.6500,4.35380000e+12
757.6600,4.43660000e+12
757.6700,4.48050000e+12
757.6800,4.50040000e+12
757.6900,4.50940000e+12
757.7000,4.51390000e+12
757.7100,4.51510000e+12
757.7200,4.51250000e+12
757.7300,4.50650000e+12
757.7400,4.49960000e+12
757.7500,4.49550000e+12
757.7600,4.49690000e+12
757.7700,4.50270000e+12
757.7800,4.50940000e+12
757.7900,4.51500000e+12
757.8000,4.52020000e+12
757.8100,4.52440000e+12
757.8200,4.52850000e+12
757.8300,4.53210000e+12
757.8400,4.53300000e+12
757.8500,4.53260000e+12
757.8600,4.53200000e+12
757.8700,4.53120000e+12
757.8800,4.53020000e+12
757.8900,4.52920000e+12
757.9000,4.52790000e+12
757.9100,4.52640000e+12
757.9200,4.52490000e+12
757.9300,4.52340000e+12
757.9400,4.52240000e+12
757.9500,4.52180000e+12
757.9600,4.52180000e+12
757.9700,4.52200000e+12
757.9800,4.52270000e+12
757.9900,4.52370000e+12
758.0000,4.52460000e+12
758.0100,4.52460000e+12
758.0200,4.52250000e+12
758.0300,4.51740000e+12
758.0400,4.50900000e+12
758.0500,4.49740000e+12
758.0600,4.48390000e+12
758.0700,4.47090000e+12
758.0800,4.46210000e+12
758.0900,4.46020000e+12
758.1000,4.46590000e+12
758.1100,4.47690000e+12
758.1200,4.48940000e+12
758.1300,4.49990000e+12
758.1400,4.50720000e+12
758.1500,4.51170000e+12
758.1600,4.51410000e+12
758.1700,4.51520000e+12
758.1800,4.51530000e+12
758.1900,4.51470000e+12
758.2000,4.51340000e+12
758.2100,4.51170000e+12
758.2200,4.50970000e+12
758.2300,4.50760000e+12
758.2400,4.50460000e+12
758.2500,4.50190000e+12
758.2600,4.50200000e+12
758.2700,4.50390000e+12
758.2800,4.50780000e+12
758.2900,4.51230000e+12
758.3000,4.51260000e+12
758.3100,4.50960000e+12
758.3200,4.50660000e+12
758.3300,4.50350000e+12
758.3400,4.50080000e+12
758.3500,4.49840000e+12
758.3600,4.49280000e+12
758.3700,4.48390000e+12
758.3800,4.47080000e+12
758.3900,4.45130000e+12
758.4000,4.42720000e+12
758.4100,4.40780000e+12
758.4200,4.40090000e+12
758.4300,4.40870000e+12
758.4400,4.42970000e+12
758.4500,4.45530000e+12
758.4600,4.47710000e+12
758.4700,4.49320000e+12
758.4800,4.50240000e+12
758.4900,4.50390000e+12
758.5000,4.50050000e+12
758.5100,4.49520000e+12
758.5200,4.48810000e+12
