wavelength_nm,irradiance
755.45,4.82483000E+14
755.46,4.80934000E+14
755.47,4.81619000E+14
755.48,4.83514000E+14
755.49,4.85600000E+14
755.50,4.87663000E+14
755.51,4.89513000E+14
755.52,4.90666000E+14
755.53,4.90914000E+14
755.54,4.90612000E+14
755.55,4.90316000E+14
755.56,4.90204000E+14
755.57,4.89860000E+14
755.58,4.88706000E+14
755.59,4.86788000E+14
755.60,4.85051000E+14
755.61,4.84543000E+14
755.62,4.85393000E+14
755.63,4.86844000E+14
755.64,4.88028000E+14
755.65,4.88294000E+14
755.66,4.86988000E+14
755.67,4.83729000E+14
755.68,4.79512000E+14
755.69,4.76925000E+14
755.70,4.77837000E+14
755.71,4.80888000E+14
755.72,4.81924000E+14
755.73,4.75881000E+14
755.74,4.58377000E+14
755.75,4.29954000E+14
755.76,4.01807000E+14
755.77,3.91594000E+14
755.78,4.06901000E+14
755.79,4.36726000E+14
755.80,4.63766000E+14
755.81,4.79800000E+14
755.82,4.86687000E+14
755.83,4.89077000E+14
755.84,4.89966000E+14
755.85,4.90462000E+14
755.86,4.90764000E+14
755.87,4.90884000E+14
755.88,4.90900000E+14
755.89,4.90908000E+14
755.90,4.90918000E+14
755.91,4.90867000E+14
755.92,4.90658000E+14
755.93,4.90102000E+14
755.94,4.88848000E+14
755.95,4.86549000E+14
755.96,4.83402000E+14
755.97,4.80508000E+14
755.98,4.79192000E+14
755.99,4.79668000E+14
756.00,4.80811000E+14
756.01,4.81513000E+14
756.02,4.81798000E+14
756.03,4.82363000E+14
756.04,4.83511000E+14
756.05,4.84960000E+14
756.06,4.86274000E+14
756.07,4.87113000E+14
756.08,4.87392000E+14
756.09,4.87433000E+14
756.10,4.87663000E+14
756.11,4.88069000E+14
756.12,4.88116000E+14
756.13,4.86958000E+14
756.14,4.83360000E+14
756.15,4.75979000E+14
756.16,4.65225000E+14
756.17,4.55267000E+14
756.18,4.52128000E+14
756.19,4.57988000E+14
756.20,4.68752000E+14
756.21,4.78459000E+14
756.22,4.84313000E+14
756.23,4.86862000E+14
756.24,4.87580000E+14
756.25,4.87497000E+14
756.26,4.87137000E+14
756.27,4.86754000E+14
756.28,4.86432000E+14
756.29,4.86180000E+14
756.30,4.86062000E+14
756.31,4.86240000E+14
756.32,4.86814000E+14
756.33,4.87657000E+14
756.34,4.88496000E+14
756.35,4.89110000E+14
756.36,4.89410000E+14
756.37,4.89447000E+14
756.38,4.89396000E+14
756.39,4.89456000E+14
756.40,4.89674000E+14
756.41,4.89915000E+14
756.42,4.89993000E+14
756.43,4.89763000E+14
756.44,4.89168000E+14
756.45,4.88329000E+14
756.46,4.87478000E+14
756.47,4.86438000E+14
756.48,4.84198000E+14
756.49,4.79829000E+14
756.50,4.74513000E+14
756.51,4.71642000E+14
756.52,4.73478000E+14
756.53,4.78569000E+14
756.54,4.83652000E+14
756.55,4.86884000E+14
756.56,4.88423000E+14
756.57,4.89142000E+14
756.58,4.89662000E+14
756.59,4.90152000E+14
